Facility Name,Address Line 1,City/Town,State,ZIP Code,Beliefs & Values Addressed (if desired by the patient),"Burdensome transitions, Type 1 (% live discharges)","Burdensome transitions, Type 2 (% live discharges)",CHC/GIP provided (% days),Early live discharges (% live discharges),Gaps in nursing visits (% elections),Hospice Care Index Overall Score,Hospice Visits in the Last Days of Life,Hospice and Palliative Care Composite Process Measure,Hospice and Palliative Care Dyspnea Screening,Hospice and Palliative Care Dyspnea Treatment,Hospice and Palliative Care Pain Assessment,Hospice and Palliative Care Pain Screening,Hospice and Palliative Care Treatment Preferences,Late live discharges (% live discharges),Nurse care minutes per routine home care days (minutes),Patient Treated with an Opioid Who Are Given a Bowel Regimen,Per-beneficiary spending (U.S. dollars $),Skilled nursing minutes on weekends (% minutes),Visits near death (% decedents),Latitude,Longitude
HOSPICARE & PALLIATIVE CARE SERVICES,172 EAST KING ROAD,ITHACA,NY,14850,100.0,1.2,0.0,0.0,14.3,68.3,9.0,71.9,99.2,99.5,99.5,100.0,100.0,100.0,19.0,12.4,100.0,"10,063",6.6,95.8,42.432165,-76.497042
HOSPICE & COMMUNITY CARE,685 GOOD DRIVE  PO BOX 685,LANCASTER,PA,17604,97.8,1.0,0.7,2.3,6.2,44.9,10.0,48.0,90.8,98.0,98.3,97.9,97.4,98.0,40.0,16.7,95.8,"10,479",11.0,95.4,,
"HOSPICE & PALLIATIVE  CARE OF THE BLUE RIDGE, INC",236 HOSPITAL DRIVE,SPRUCE PINE,NC,28777,100.0,9.7,3.2,0.4,8.9,69.1,10.0,52.1,99.1,100.0,99.3,100.0,99.6,100.0,38.7,9.5,100.0,"22,721",6.6,92.8,35.904431,-82.068534
HOSPICE & PALLIATIVE CARE AT HAYSMED,2220 CANTERBURY DRIVE,HAYS,KS,67601,98.7,0.0,0.0,0.0,5.9,2.3,10.0,87.3,89.8,98.7,100.0,94.3,97.5,100.0,5.9,19.1,88.1,"3,493",12.7,98.6,38.876881,-99.349544
HOSPICE & PALLIATIVE CARE CHARLOTTE REGION,7845 LITTLE AVENUE,CHARLOTTE,NC,28226,99.4,1.6,1.2,1.4,4.5,60.1,10.0,69.9,97.5,99.7,99.2,99.0,99.4,99.9,39.3,13.3,98.5,"15,795",9.1,95.5,35.102697,-80.822129
HOSPICE & PALLIATIVE CARE OF CALIFORNIA,"23201 LAKE CENTER DR, SUITE 110",LAKE FOREST,CA,92630,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.645736,-117.685503
HOSPICE & PALLIATIVE CARE OF CHENANGO COUNTY INC.,33-39 COURT STREET,NORWICH,NY,13815,92.2,0.0,0.0,0.1,0.0,49.0,10.0,74.1,88.4,99.2,91.8,100.0,100.0,100.0,33.3,22.1,100.0,"10,414",14.4,96.3,42.547866,-75.530855
HOSPICE & PALLIATIVE CARE OF VIRGINIA,"18 SEVENTH STREET, NW, SUITE 302",NORTON,VA,24273,100.0,5.0,5.0,0.0,5.0,84.4,6.0,1.8,100.0,100.0,Not Available,Not Available,100.0,100.0,45.0,7.6,Not Available,"11,406",0.8,48.5,36.964701,-82.66148
HOSPICE & PALLIATIVE CARE PALMETTO REGION,"1057 RED VENTURES DRIVE, STE 150",FORT MILL,SC,29707,100.0,9.5,4.8,0.6,3.6,53.9,10.0,71.2,97.5,99.1,99.5,98.5,99.5,100.0,33.3,15.0,98.8,"13,404",9.3,95.8,34.974384,-80.862388
HOSPICE & PALLIATIVE CARE PALMETTO REGION- GREENVI,1003 GROVE ROAD STE E ,GREENVILLE ,SC,29065,98.8,18.9,2.1,0.9,10.5,41.9,9.0,73.0,93.8,99.3,97.9,98.3,97.7,99.8,21.1,15.3,99.0,"11,722",10.0,96.5,34.28514,-81.296583
HOSPICE - THE CARING WAY,1159 WESTWOOD DRIVE,VAN WERT,OH,45891,100.0,1.7,0.0,4.1,1.7,18.2,10.0,57.9,99.2,100.0,99.5,99.8,100.0,100.0,23.7,23.7,98.6,"7,138",15.1,96.8,40.874541,-84.574267
HOSPICE 365 LLC,333 N RIVERSHIRE DR SUITE 260,CONROE,TX,77304,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,30.32776,-95.516045
HOSPICE ALLIANCE,10220 PRAIRIE RIDGE BLVD,PLEASANT PRAIRIE,WI,53158,92.6,0.0,1.6,0.0,6.6,72.5,10.0,84.1,90.1,99.4,97.0,99.2,99.6,99.8,47.5,8.8,95.7,"12,381",10.9,99.6,42.52436,-87.88553
"HOSPICE ALLIANCE OF SOUTHERN UTAH, INC","923 SOUTH RIVER ROAD, SUITE 205",ST GEORGE,UT,84790,100.0,16.0,0.0,0.0,4.0,65.8,8.0,80.4,97.6,97.6,100.0,Not Available,100.0,100.0,64.0,12.7,Not Available,"23,754",10.6,98.4,37.044186,-113.577299
HOSPICE AND COMMUNITY CARE,2275 INDIA HOOK ROAD   PO BOX 993,ROCK HILL,SC,29732,98.3,12.5,1.4,3.7,5.6,68.4,10.0,36.6,92.9,98.5,98.2,98.4,97.1,99.4,36.1,13.6,94.0,"10,827",8.2,91.1,34.971166,-81.081284
HOSPICE AND HOME HEALTHCARE OF SAUNDERS COUNTY,141 EAST 5TH STREET,WAHOO,NE,68066,100.0,20.0,0.0,0.0,0.0,23.3,7.0,77.2,98.6,100.0,100.0,98.3,100.0,100.0,60.0,14.0,100.0,"9,963",13.9,100,41.186717,-96.628065
HOSPICE AND HOMECARE OF RENO COUNTY,2020 N WALDRON STREET SUITE 100,HUTCHINSON,KS,67502,98.6,12.2,2.4,3.8,26.8,50.0,9.0,76.4,98.3,100.0,100.0,99.4,100.0,100.0,36.6,18.6,100.0,"9,984",14.9,97.8,38.126736,-97.929949
HOSPICE AND PALLIATIVE CARE,200 MILL ROAD,FAIRHAVEN,MA,02719,100.0,19.7,2.4,2.6,16.5,43.2,8.0,42.2,99.8,99.9,99.9,100.0,99.9,100.0,24.4,14.4,100.0,"12,014",11.9,97.0,41.633619,-70.871306
HOSPICE AND PALLIATIVE CARE INC NEW HARTFORD,4277 MIDDLE SETTLEMENT ROAD,NEW HARTFORD,NY,13413,99.9,1.1,2.2,0.0,7.8,56.3,10.0,43.9,99.9,100.0,100.0,100.0,100.0,100.0,24.4,16.3,100.0,"6,697",9.3,98.2,43.060413,-75.279398
HOSPICE AND PALLIATIVE CARE OF CABARRUS COUNTY,5003 HOSPICE LANE,KANNAPOLIS,NC,28081,100.0,9.8,2.9,1.3,9.8,40.7,10.0,54.7,100.0,100.0,100.0,100.0,100.0,100.0,32.4,12.8,100.0,"12,875",13.6,92.5,35.502816,-80.670173
"HOSPICE AND PALLIATIVE CARE OF CALIFORNIA, INC","1007 N LAKE AVE, STE A",PASADENA,CA,91104,100.0,8.0,0.0,0.2,20.0,94.4,7.0,Not Available,68.6,100.0,96.4,92.3,100.0,100.0,20.0,7.8,Not Available,"19,313",17.8,85.7,34.165356,-118.123751
HOSPICE AND PALLIATIVE CARE OF MARTHA'S VINEYARD,"459 STATE ROAD, UNIT 18",VINEYARD HAVEN,MA,02588,70.2,0.0,0.0,0.9,0.0,28.9,10.0,56.7,55.3,97.9,81.8,91.7,97.9,97.9,23.1,14.4,Not Available,"15,244",6.3,93.2,,
HOSPICE AND PALLIATIVE CARE OF NASH GENERAL HOSPIT,2460 CURTIS ELLIS DRIVE,ROCKY MOUNT,NC,27804,98.5,4.0,8.0,0.1,8.0,69.1,8.0,31.3,70.4,98.5,93.4,88.5,78.3,100.0,44.0,8.1,97.1,"9,907",7.1,84.5,35.989146,-77.842675
HOSPICE AND PALLIATIVE CARE OF ST LAWRENCE VALLEY,6805 US ROUTE 11,POTSDAM,NY,13676,99.6,5.4,0.0,0.2,10.8,29.2,10.0,70.7,98.2,100.0,96.8,100.0,99.6,100.0,21.6,13.1,100.0,"8,818",7.3,95.7,44.65496,-74.926222
HOSPICE AND PALLIATIVE CARE OF THE PIEDMONT,408 W ALEXANDER AVE,GREENWOOD,SC,29646,99.5,6.7,2.2,6.0,2.2,31.3,10.0,84.8,97.2,99.7,98.6,96.6,99.7,99.7,31.1,38.7,100.0,"7,792",15.7,99.0,34.136053,-82.14847
"HOSPICE ANGELS, LLC","350 OAKS TRAIL, SUITE # 201",GARLAND,TX,75043,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,32.857447,-96.575798
"HOSPICE ASSOCIATES OF NEW ORLEANS, LLC",3941 HOUMA BLVD SUITE 1 A,METAIRIE,LA,70006,100.0,9.1,0.0,0.0,0.0,22.0,8.0,55.6,97.2,99.1,100.0,100.0,98.1,100.0,45.5,10.3,Not Available,"12,634",1.9,91.8,30.014032,-90.191345
HOSPICE AT HEART TO HEART INC,"13231 NORTH 35TH AVENUE, # A10 E",PHOENIX,AZ,85029,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.594738,-112.109861
HOSPICE AT HOME,4025 HEALTH PARK LANE,SAINT JOSEPH,MI,49085,100.0,6.1,0.8,0.3,5.9,57.4,10.0,68.5,99.7,100.0,99.6,99.6,100.0,100.0,44.7,12.3,100.0,"14,357",12.0,93.1,42.054277,-86.4626
"HOSPICE AT HOME OF ARIZONA, LLC","2500 SOUTH POWER ROAD, BUILDING 1, SUITE 125A",MESA,AZ,85209,99.3,4.3,0.0,0.1,4.3,65.8,10.0,60.4,93.2,99.3,96.2,95.3,98.0,100.0,47.3,14.6,98.6,"21,500",6.5,96.9,33.37545,-111.63867
"HOSPICE AT LOURDES, THE",4102 0LD VESTAL ROAD,VESTAL,NY,13850,99.3,2.5,1.3,0.1,8.8,57.1,10.0,52.0,95.5,99.0,99.7,97.7,99.3,100.0,22.5,14.5,96.4,"7,031",8.7,89.8,42.049395,-76.017594
"HOSPICE AT LSMNJ, INC.","6712 WASHINGTON AVENUE, SUITE 302 ",EGG HARBOR TOWNSHIP,NJ,08234,97.7,20.8,0.0,0.1,6.3,89.1,8.0,49.0,64.9,98.3,95.6,86.5,71.8,98.9,52.1,8.8,95.8,"22,281",7.8,83.2,39.388393,-74.620728
HOSPICE ATLANTA,"5775 GLENRIDGE DR NE, SUITE E200",ATLANTA,GA,30328,98.1,14.5,1.7,0.0,7.1,74.4,10.0,59.6,96.0,99.4,100.0,100.0,98.3,100.0,42.3,10.1,100.0,"20,522",7.3,89.9,33.932538,-84.385947
HOSPICE AUSTIN,4107 SPICEWOOD SPRINGS RD STE #100,AUSTIN,TX,78759,99.2,3.3,1.4,2.0,10.8,58.2,10.0,56.5,94.1,100.0,98.3,97.5,98.2,100.0,42.0,18.0,96.2,"14,108",8.6,93.3,30.402665,-97.761062
"HOSPICE BEST CARE, INC","417 S SAN GABRIEL BLVD, UNIT D",SAN GABRIEL,CA,91776,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.090776,-118.095091
HOSPICE BRAZOS VALLEY INC,502 W 26TH STREET,BRYAN,TX,77803,100.0,5.0,0.0,0.9,7.5,20.5,10.0,77.2,99.2,100.0,97.8,100.0,100.0,100.0,31.4,15.3,99.0,"10,595",9.8,98.6,30.681053,-96.386067
HOSPICE BUFFALO INC,225 COMO PARK BLVD,CHEEKTOWAGA,NY,14227,99.7,1.7,3.4,1.9,7.8,54.9,10.0,77.3,98.2,99.9,98.2,99.3,99.9,100.0,29.3,18.0,99.0,"11,750",11.9,96.4,42.886872,-78.730832
HOSPICE BY BLIZE HEALTHCARE,"750 ALFRED NOBEL DRIVE, SUITE 202",HERCULES,CA,94547,98.3,5.0,2.5,0.0,2.5,57.7,8.0,8.8,96.6,98.3,95.2,100.0,100.0,100.0,40.0,13.0,Not Available,"41,345",4.0,78.8,38.010166,-122.261728
HOSPICE BY JOHN KNOX VILLAGE,"600 NW PRYOR ROAD, UNIT 300",LEES SUMMIT,MO,64081,100.0,3.8,0.0,0.5,3.8,61.1,10.0,82.0,93.3,98.8,100.0,90.6,98.2,100.0,50.0,14.4,100.0,"10,866",10.3,97.5,38.907046,-94.403932
HOSPICE BY LOVING CARE,100 WOODBRIAR,NOBLE,OK,73068,100.0,9.3,0.0,0.1,9.3,10.8,10.0,45.6,99.5,100.0,100.0,100.0,99.5,100.0,24.1,11.6,100.0,"13,515",5.9,92.5,35.13863,-97.291608
HOSPICE BY THE SEA,"312 S CEDROS, SUITE 250",SOLANA BEACH,CA,92075,92.0,12.2,0.0,0.0,7.3,94.1,6.0,17.7,79.5,100.0,89.7,78.3,98.9,98.9,41.5,7.0,Not Available,"27,648",2.7,78.8,32.997248,-117.26058
HOSPICE BY THE SEA INC,1531 W PALMETTO PARK RD,BOCA RATON,FL,33486,97.1,8.0,0.8,4.3,13.4,84.5,9.0,28.6,87.6,98.4,96.5,92.9,96.6,100.0,33.0,16.1,96.1,"14,051",12.8,92.7,26.347501,-80.112571
HOSPICE CARE 4 U,6201 BONHOMME RD 463N,HOUSTON,TX,77036,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29.701847,-95.534537
HOSPICE CARE BY PENNSWOOD VILLAGE,1382 NEWTOWN LANGHORNE ROAD,NEWTOWN,PA,18940,Not Available,0.0,0.0,0.0,0.0,8.3,9.0,80.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,50.0,17.4,Not Available,"14,994",9.2,100,40.261315,-74.937775
"HOSPICE CARE GROUP, LLC",114 EAST DONALD STREET,QUITMAN,MS,39355,Not Available,33.3,0.0,0.0,6.7,44.4,6.0,46.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,46.7,7.3,Not Available,"24,902",2.0,97.1,32.054731,-88.624649
HOSPICE CARE IN WESTCHESTER & PUTNAM INC,"540 WHITE PLAINS ROAD, SUITE 300",TARRYTOWN,NY,10591,Not Available,2.7,14.2,1.8,3.5,74.5,9.0,17.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,25.7,11.0,Not Available,"10,536",9.8,83.8,41.090097,-73.841014
HOSPICE CARE INC,15826 VENTURA BLVD SUITE 223,ENCINO,CA,91436,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.149588,-118.489708
HOSPICE CARE INC,"15826 VENTURA BLVD, SUITE 223",ENCINO,CA,91436,100.0,0.0,2.6,0.0,5.1,73.3,7.0,Not Available,97.8,100.0,100.0,100.0,100.0,100.0,51.3,9.0,Not Available,"34,896",25.5,50.0,34.149588,-118.489708
HOSPICE CARE OF ILLINOIS,701 NORTH FIRST STREET,SPRINGFIELD,IL,62781,98.5,2.6,1.3,0.2,13.0,39.8,10.0,52.0,94.9,99.7,99.7,96.0,99.7,100.0,20.8,18.0,96.1,"7,059",9.5,93.6,,
"HOSPICE CARE OF LONG ISLAND, QUEENS, SOUTH SHORE",99 SUNNYSIDE BLVD,WOODBURY,NY,11797,99.6,1.6,5.8,3.1,6.3,71.3,9.0,28.7,98.1,99.9,99.0,98.5,99.9,99.8,38.1,14.6,98.9,"13,275",10.6,89.9,40.820208,-73.47245
HOSPICE CARE OF MIDDLETOWN INC,"4418 LEWIS STREET, SUITE B",MIDDLETOWN,OH,45044,98.6,12.0,2.0,0.3,2.0,31.3,10.0,60.4,97.6,99.5,99.2,100.0,99.5,100.0,36.0,15.6,100.0,"14,903",10.8,97.7,39.482404,-84.410243
HOSPICE CARE OF ST ELIZABETH HEALTHCARE,483 SOUTH LOOP ROAD,EDGEWOOD,KY,41017,100.0,7.1,0.0,4.4,16.0,51.8,9.0,63.2,99.6,99.9,99.9,100.0,100.0,100.0,26.0,14.3,98.6,"7,792",13.7,92.8,39.029195,-84.562134
HOSPICE CARE OF TEXAS,7322 SOUTHWEST FWY SUITE 645 ROOM D,HOUSTON,TX,77074,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29.687947,-95.515725
HOSPICE CARE OF THE COAST INC,"215 SOUTH HICKORY STREET, SUITE 104",ESCONDIDO,CA,92025,100.0,0.0,0.0,0.0,4.4,93.5,7.0,7.9,95.6,100.0,97.9,97.1,100.0,100.0,62.2,8.5,Not Available,"26,381",7.8,98.6,33.102005,-117.080419
HOSPICE CARE OF THE LOWCOUNTRY,7 PLANTATION PARK DRIVE UNIT 4,BLUFFTON,SC,29910,96.0,2.4,0.0,0.2,11.9,34.1,10.0,55.6,91.4,99.4,93.5,99.3,98.8,99.7,19.0,16.0,98.6,"10,760",7.3,93.8,32.214521,-80.89157
HOSPICE CARE OF THE VALLEY INC,1176 ROADRUNNER WAY,SIMI VALLEY,CA,93065,100.0,0.0,0.0,0.1,10.0,32.0,9.0,4.8,100.0,100.0,100.0,100.0,100.0,100.0,80.0,18.0,100.0,"22,319",6.0,90.5,34.258405,-118.775026
HOSPICE CARE OF VNA,"1300 E 104TH STREET, STE 300",KANSAS CITY,MO,64114,98.8,9.4,1.6,0.0,7.8,30.7,10.0,71.5,94.6,99.4,98.7,96.4,98.2,100.0,34.4,15.2,96.2,"15,958",6.3,99.4,38.957802,-94.598599
HOSPICE CARE OF VNA,"6405 METCALF AVE, STE 202",OVERLAND PARK,KS,66202,100.0,20.7,0.0,0.3,13.8,20.9,8.0,75.4,94.0,100.0,98.5,88.5,100.0,100.0,20.7,18.3,95.1,"12,695",7.9,96.3,39.02315,-94.669466
"HOSPICE CARE OPTIONS, INC.",486 NEW STREET,MACON,GA,31201,99.7,7.7,2.1,0.3,6.3,51.7,10.0,65.6,98.6,100.0,97.6,100.0,99.7,100.0,47.6,9.6,100.0,"16,829",8.8,92.2,32.806321,-83.61786
HOSPICE CARE PARTNERS,"2015 E. LAMAR BLVD, SUITE 100",ARLINGTON,TX,76006,Not Available,10.3,2.6,0.1,7.7,98.4,6.0,12.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.3,1.4,Not Available,"26,723",6.5,69.0,32.784931,-97.099915
"HOSPICE CARE PLUS, INC",350 ISAACS LANE,RICHMOND,KY,40475,97.9,0.0,0.9,4.2,1.9,73.5,10.0,37.7,89.6,95.8,100.0,95.2,95.8,99.4,36.4,14.1,96.2,"8,003",11.9,87.0,37.7616,-84.312523
HOSPICE CARE PROVIDERS INC,9581 BUSINESS CENTER DRIVE BUILDING 12H,RANCHO CUCAMONGA,CA,91730,100.0,11.1,11.1,0.1,0.0,10.9,7.0,85.7,100.0,100.0,100.0,Not Available,100.0,100.0,77.8,18.9,Not Available,"43,530",20.9,100,34.10097,-117.57882
HOSPICE CARE TEAM,2688 CALDER STREET,BEAUMONT,TX,77702,99.4,13.2,2.0,0.5,9.2,84.0,8.0,67.3,95.6,99.1,99.0,98.7,99.4,100.0,42.8,6.7,96.6,"22,045",5.5,98.5,30.086269,-94.128303
HOSPICE CARE TEAM INC,11441 32ND AVENUE NORTH SUITE B,TEXAS CITY,TX,77591,98.9,12.9,0.0,0.4,4.8,81.1,9.0,63.4,97.4,99.5,100.0,98.7,99.5,100.0,50.0,7.2,100.0,"17,031",7.3,97.8,29.399536,-94.996939
HOSPICE CARE- A PART OF TANNER,"100 GREENWAY BLVD, SUITE F",CARROLLTON,GA,30117,100.0,4.3,0.0,4.1,8.7,7.8,10.0,84.8,66.1,97.5,99.5,60.3,96.2,100.0,34.8,19.7,99.1,"5,889",11.5,98.7,33.581851,-85.132439
HOSPICE CIRCLE OF LOVE,314 S 3RD STREET,ENID,OK,73701,99.4,5.9,0.0,0.0,8.8,33.3,9.0,70.4,80.2,100.0,97.7,99.1,82.0,100.0,35.3,15.7,100.0,"9,812",7.2,94.1,36.426744,-97.791989
HOSPICE CLEVELAND COUNTY,951 WENDOVER HEIGHTS DRIVE,SHELBY,NC,28150,98.7,2.8,1.1,3.0,5.0,45.5,10.0,76.2,96.7,99.4,99.2,99.4,99.0,100.0,29.6,14.2,97.2,"13,266",8.9,96.1,35.342703,-81.576248
HOSPICE COMPASSIONATE CARE SERVICES LLC,2411 E GRIFFIN PKWY,MISSION,TX,78572,95.9,4.9,0.0,0.0,2.4,81.9,7.0,8.1,89.0,100.0,92.9,100.0,95.9,98.6,51.2,5.1,Not Available,"24,028",12.8,63.5,26.229223,-98.37545
HOSPICE COMPASSUS,1717 N IH 35 SUITE 130,ROUND ROCK,TX,78664,99.9,6.1,2.4,3.8,15.2,40.0,9.0,61.2,99.7,99.8,100.0,99.9,99.9,100.0,25.5,14.8,99.8,"6,347",10.8,97.6,30.501927,-97.647251
HOSPICE COMPASSUS - BATON ROUGE,"6700 JEFFERSON HIGHWAY, BUILDING 1",BATON ROUGE,LA,70806,100.0,22.0,0.0,0.4,4.0,57.3,7.0,78.4,100.0,100.0,100.0,100.0,100.0,100.0,68.0,8.2,100.0,"18,882",11.3,95.1,30.448758,-91.124753
HOSPICE COMPASSUS - BULLHEAD CITY,"2755 SILVER CREEK ROAD, SUITE 211",BULLHEAD CITY,AZ,86442,100.0,4.3,2.2,0.3,8.6,32.9,10.0,86.9,100.0,100.0,100.0,100.0,100.0,100.0,45.2,18.8,100.0,"14,410",9.5,98.6,35.089613,-114.560868
HOSPICE COMPASSUS - GREATER NEW ORLEANS,1301 WEST CAUSEWAY APPROACH,MANDEVILLE,LA,70471,100.0,12.1,3.7,0.8,12.4,41.1,10.0,61.8,100.0,100.0,100.0,100.0,100.0,100.0,25.4,12.1,100.0,"9,575",7.8,94.3,30.407038,-90.063421
HOSPICE COMPASSUS - LAFAYETTE,"1018 HARDING STREET, STE 207",LAFAYETTE,LA,70503,100.0,8.5,8.5,0.1,10.6,65.1,9.0,66.3,100.0,100.0,100.0,100.0,100.0,100.0,44.7,11.4,Not Available,"20,850",8.7,91.2,30.170874,-92.054784
HOSPICE COMPASSUS - NORTHEAST IOWA,505 BOWLING STREET STE B,CEDAR RAPIDS,IA,52404,99.9,6.9,1.9,0.7,3.8,49.2,10.0,68.1,99.9,100.0,100.0,100.0,100.0,100.0,54.1,14.3,100.0,"11,413",7.7,94.8,41.923056,-91.698866
HOSPICE COMPASSUS - NORTHWEST ILLINOIS,799 NORTH  HENDERSON STREET,GALESBURG,IL,61401,100.0,4.3,2.2,0.0,4.7,48.1,9.0,67.1,99.5,99.9,99.1,99.8,100.0,100.0,62.1,15.3,100.0,"14,027",5.8,94.3,40.944205,-90.385824
HOSPICE COMPASSUS - PHILADELPHIA,2 CAMPUS BOULEVARD STE 200,NEWTOWN SQUARE,PA,19073,100.0,7.7,0.7,0.2,7.0,57.5,9.0,73.4,100.0,100.0,100.0,100.0,100.0,100.0,66.2,10.8,100.0,"17,729",6.5,93.5,39.983259,-75.429241
HOSPICE COMPASSUS - SEDONA/ FLAGSTAFF,"7000 STATE ROUTE 179, SUITE D100",SEDONA,AZ,86351,100.0,5.0,0.8,0.0,5.8,42.3,10.0,72.2,99.8,100.0,99.4,100.0,100.0,100.0,36.4,15.6,100.0,"15,294",8.8,94.6,34.778447,-111.785069
HOSPICE COMPASSUS - SOUTHERN WEST VIRGINIA,1330 MERCER STREET,PRINCETON,WV,24740,100.0,5.1,2.0,0.7,21.4,49.0,9.0,72.4,99.7,100.0,100.0,99.4,100.0,100.0,30.6,11.0,100.0,"7,515",10.2,92.9,37.373474,-81.005001
HOSPICE COMPASSUS - THE HIGHLAND RIM,"1805 N JACKSON STREET, SUITE 11 & 12",TULLAHOMA,TN,37388,99.7,14.9,2.4,0.6,12.9,30.0,10.0,71.4,99.7,100.0,100.0,100.0,100.0,100.0,26.1,12.6,100.0,"12,040",7.6,96.3,35.343672,-86.221295
HOSPICE COMPASSUS - THE WOODLANDS,1770 ST JAMES PLACE SUITE 330,HOUSTON,TX,77056,100.0,14.3,0.0,0.2,7.8,37.7,10.0,59.0,100.0,100.0,100.0,100.0,100.0,100.0,31.2,15.3,100.0,"13,989",8.3,94.8,29.748202,-95.468948
HOSPICE COMPASSUS - WHITE MOUNTAIN,"1789 WEST COMMERCE DRIVE, SUITE A",LAKESIDE,AZ,85929,100.0,2.5,1.2,0.2,6.8,42.1,10.0,83.9,99.7,99.7,100.0,100.0,100.0,100.0,51.9,13.1,100.0,"18,963",6.8,96.3,34.184683,-109.939822
HOSPICE COMPASSUS - YUMA,"2320 SOUTH 22ND DRIVE, OFFICE A",YUMA,AZ,85364,100.0,4.8,2.9,0.0,6.7,34.8,9.0,82.5,99.6,100.0,100.0,99.3,100.0,100.0,46.7,11.2,Not Available,"17,887",5.5,97.3,32.70226,-114.658013
HOSPICE COMPASSUS -MONROE,2213 JUSTICE AVENUE,MONROE,LA,71201,99.1,16.5,3.8,0.2,11.4,53.1,10.0,66.7,98.1,99.5,100.0,99.2,100.0,100.0,30.4,12.3,100.0,"12,681",7.2,92.0,32.532929,-92.105911
HOSPICE COMPASSUS HOUSTON,"1523 NORMAL PARK DRIVE, SUITE C",HUNTSVILLE,TX,77340,99.1,20.0,2.9,0.0,5.7,23.4,9.0,52.5,98.2,100.0,98.7,100.0,100.0,100.0,31.4,15.0,100.0,"14,772",8.8,97.4,30.6402,-95.538432
HOSPICE COMPASSUS- MISSISSIPPI,119-D WEST PRESLEY BLVD,MC COMB,MS,39648,100.0,14.6,4.7,0.3,5.0,45.4,10.0,75.9,99.8,100.0,99.7,100.0,100.0,100.0,47.5,12.3,100.0,"16,136",7.3,95.0,31.189344,-90.384302
HOSPICE COMPASSUS-CASA GRANDE,"1675 EAST MONUMENT PLAZA DRIVE, SUITE A",CASA GRANDE,AZ,85122,100.0,1.3,0.0,0.6,11.3,37.6,10.0,80.6,100.0,100.0,100.0,100.0,100.0,100.0,45.0,13.7,100.0,"10,936",8.3,98.9,32.917126,-111.744208
HOSPICE COMPASSUS-CENTRAL MISSOURI,"3405 WEST TRUMAN BOULEVARD, SUITE 210",JEFFERSON CITY,MO,65109,99.7,2.8,2.8,0.7,5.1,29.2,10.0,52.3,98.4,99.9,99.3,98.5,99.8,100.0,48.9,14.0,98.9,"10,464",8.1,96.1,38.573883,-92.277794
HOSPICE COMPASSUS-DETROIT,"30665 NORTHWESTERN HWY, SUITE 150",FARMINGTON,MI,48334,99.4,6.5,6.5,4.7,12.9,32.4,9.0,54.5,97.7,100.0,100.0,98.8,100.0,99.4,29.0,18.3,99.7,"6,849",20.8,97.3,42.504694,-83.349204
HOSPICE COMPASSUS-GREENVILLE-SPARTANBURG,212 E FLOYD BAKER BLVD,GAFFNEY,SC,29340,100.0,24.3,0.0,0.0,5.4,27.6,9.0,62.6,98.3,100.0,Not Available,100.0,100.0,100.0,29.7,11.4,Not Available,"19,677",9.6,92.4,34.972313,-81.585917
HOSPICE COMPASSUS-JOPLIN,"2216 E 32ND STREET, SUITE 201",JOPLIN,MO,64804,97.8,10.1,2.2,0.1,5.6,39.1,10.0,56.4,95.2,99.4,95.8,97.9,100.0,99.7,33.7,9.7,97.4,"11,890",9.2,94.7,37.021691,-94.510899
